Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
MMM,3M Company,Industrials,Conglomerates,80570941440,NYQ
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,10097767424,NYQ
ABT,Abbott Laboratories,Healthcare,Medical Devices,220159361024,NYQ
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,336110583808,NYQ
ACN,Accenture plc,Technology,Information Technology Services,176360816640,NYQ
ADBE,Adobe Inc.,Technology,Software - Application,157267902464,NMS
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,269914472448,NMS
AES,The AES Corporation,Utilities,Utilities - Diversified,9824537600,NYQ
AFL,Aflac Incorporated,Financial Services,Insurance - Life,55886475264,NYQ
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,34138931200,NYQ
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,66594066432,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,87218364416,NMS
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,11493632000,NMS
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,9852932096,NYQ
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,14031558656,NYQ
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,14899975168,NMS
ALLE,Allegion plc,Industrials,Security & Protection Services,14198152192,NYQ
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,16681528320,NMS
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,51824881664,NYQ
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2341206228992,NMS
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2341206491136,NMS
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,100797489152,NYQ
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2457059721216,NMS
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,22317651968,NYQ
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,27138310144,NYQ
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,58649272320,NMS
AXP,American Express Company,Financial Services,Credit Services,216843780096,NYQ
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,46164029440,NYQ
AMT,American Tower Corporation,Real Estate,REIT - Specialty,107610873856,NYQ
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27364085760,NYQ
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,49188065280,NYQ
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,41578999808,NYQ
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,164849893376,NMS
APH,Amphenol Corporation,Technology,Electronic Components,127032188928,NYQ
ADI,"Analog Devices, Inc.",Technology,Semiconductors,113055219712,NMS
AON,Aon plc,Financial Services,Insurance Brokers,80521871360,NYQ
APA,APA Corporation,Energy,Oil & Gas E&P,6892139520,NMS
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,86369894400,NYQ
AAPL,Apple Inc.,Technology,Consumer Electronics,3194468958208,NMS
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,149015855104,NMS
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,15439235072,NYQ
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,33311973376,NMS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,26592905216,NYQ
ANET,Arista Networks Inc,Technology,Computer Hardware,143526543360,NYQ
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,80692543488,NYQ
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,9444824064,NYQ
T,AT&T Inc.,Communication Services,Telecom Services,200210907136,NYQ
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,24911992832,NYQ
ADSK,"Autodesk, Inc.",Technology,Software - Application,64885235712,NMS
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,125280018432,NMS
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,63918854144,NYQ
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,28722743296,NYQ
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,13898839040,NYQ
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,57221115904,NMS
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,45399728128,NMS
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16370435072,NYQ
